Pricing_,Cheap1,Cheap2,Expensive1,Expensive2
1,2999,14999,19999,29999
2,2999,14999,29999,39999
3,1999,19999,9999,49999
4,2999,2999,14999,45999
5,1999,2999,14999,49999
6,4999,4999,19999,45999
7,9999,14999,9999,49999
8,9999,4999,29999,29999
9,9999,4999,29999,39999
10,1999,14999,9999,49999
11,4999,14999,19999,49999
12,4999,9999,29999,19999
13,4999,9999,29999,45999
14,999,9999,29999,29999
15,1999,14999,9999,39999
16,2999,19999,29999,45999
17,9999,19999,14999,19999
18,2999,9999,19999,19999
19,4999,4999,9999,29999
20,9999,2999,29999,39999
21,1999,9999,29999,19999
22,9999,2999,19999,29999
23,4999,19999,19999,19999
24,9999,19999,29999,49999
25,4999,9999,29999,19999
26,9999,9999,14999,39999
27,1999,19999,9999,45999
28,999,9999,19999,19999
29,2999,19999,9999,39999
30,9999,4999,29999,39999
31,2999,2999,9999,39999
32,2999,4999,9999,29999
33,2999,19999,9999,49999
34,4999,19999,14999,19999
35,1999,19999,19999,45999
36,1999,2999,9999,39999
37,1999,4999,19999,39999
38,4999,14999,14999,39999
39,2999,2999,14999,39999
40,4999,2999,19999,45999
41,999,14999,14999,29999
42,9999,2999,9999,39999
43,4999,19999,29999,49999
44,2999,14999,19999,29999
45,2999,19999,14999,39999
46,4999,4999,19999,45999
47,2999,2999,29999,29999
48,4999,19999,14999,29999
49,9999,4999,29999,29999
50,9999,19999,14999,19999
51,9999,9999,29999,29999
52,2999,2999,14999,19999
53,1999,19999,29999,49999
54,999,9999,29999,29999
55,1999,19999,14999,39999
56,999,2999,14999,39999
57,1999,14999,19999,29999
58,2999,4999,14999,29999
59,1999,14999,9999,39999
60,4999,14999,19999,29999
61,1999,4999,19999,19999
62,2999,4999,19999,49999
63,4999,2999,19999,19999
64,9999,4999,14999,39999
65,9999,2999,29999,49999
66,999,14999,9999,45999
67,2999,9999,9999,39999
68,9999,2999,9999,45999
69,999,2999,9999,39999
70,9999,14999,14999,19999
71,1999,9999,9999,29999
72,9999,19999,29999,49999
73,999,9999,14999,19999
74,999,9999,9999,45999
75,1999,4999,9999,45999
76,9999,9999,9999,49999
77,2999,9999,9999,45999
78,9999,2999,19999,19999
79,999,9999,14999,39999
80,9999,14999,9999,49999
81,999,9999,14999,29999
82,4999,4999,19999,29999
83,2999,14999,29999,29999
84,2999,4999,29999,49999
85,1999,4999,9999,49999
86,1999,14999,14999,49999
87,1999,4999,19999,39999
88,1999,14999,14999,29999
89,4999,19999,14999,49999
90,1999,4999,14999,49999
91,1999,9999,14999,45999
92,1999,9999,19999,19999
93,2999,19999,14999,45999
94,4999,2999,29999,39999
95,4999,4999,19999,19999
96,9999,4999,19999,45999
97,2999,9999,29999,19999
98,2999,14999,29999,45999
99,1999,19999,19999,39999
100,999,14999,29999,49999
